S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
60,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For All Teaching Exams 2024 | Complete Physical Education #4 By Monu Sir,https://www.youtube.com/watch?v=5B-Okategn4
61,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For All Teaching Exams 2024 | Complete Physical Education #2 By Monu Sir,https://www.youtube.com/watch?v=5J-gGSUcbrM
62,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For All Teaching Exams 2024 | Complete Physical Education #3 By Monu Sir,https://www.youtube.com/watch?v=Qkm03tlJhmI
63,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For All Teaching Exams 2024 | Complete Physical Education By Monu Sir,https://www.youtube.com/watch?v=XFXWeJGYEN0
64,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 9 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=PavVY7c3xkY
65,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 8 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=7gmo6Bs9B_o
66,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 7 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=t1jERoXRT4E
67,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 6 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=rcHZ9uE7rjc
68,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 5 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=-LKcFlzJ62s
69,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 4 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=8hBDBNtgL8s
70,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 3 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=jHxszIQ6GsU
71,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 2 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=m9R56rPa8IM
